id,difficulty,config,error_px,score,ai_fallback,periodic_detected
30,hard,no_subpixel,0.0,0.876,False,True
31,hard,full,0.016,0.863,False,True
31,hard,no_preproc,0.001,0.994,False,True
31,hard,no_multiscale,0.016,0.863,False,True
31,hard,no_subpixel,0.0,0.863,False,True
32,hard,full,0.073,0.865,False,True
32,hard,no_preproc,0.001,0.994,False,True
32,hard,no_multiscale,0.073,0.865,False,True
32,hard,no_subpixel,0.0,0.865,False,True
33,hard,full,0.047,0.86,False,True
33,hard,no_preproc,0.002,0.994,False,True
33,hard,no_multiscale,0.047,0.86,False,True
33,hard,no_subpixel,0.0,0.86,False,True
34,hard,full,0.072,0.865,False,True
34,hard,no_preproc,0.001,0.995,False,True
34,hard,no_multiscale,0.072,0.865,False,True
34,hard,no_subpixel,0.0,0.865,False,True
35,hard,full,0.057,0.858,False,True
35,hard,no_preproc,0.003,0.994,False,True
35,hard,no_multiscale,0.057,0.858,False,True
35,hard,no_subpixel,0.0,0.858,False,True
36,hard,full,0.005,0.858,False,True
36,hard,no_preproc,0.003,0.995,False,True
36,hard,no_multiscale,0.005,0.858,False,True
36,hard,no_subpixel,0.0,0.858,False,True
37,hard,full,0.041,0.854,False,True
37,hard,no_preproc,0.001,0.995,False,True
37,hard,no_multiscale,0.041,0.854,False,True
37,hard,no_subpixel,0.0,0.854,False,True
38,hard,full,0.071,0.866,False,True
38,hard,no_preproc,0.001,0.995,False,True
38,hard,no_multiscale,0.071,0.866,False,True
38,hard,no_subpixel,0.0,0.866,False,True
39,hard,full,0.052,0.857,False,True
39,hard,no_preproc,0.003,0.994,False,True
39,hard,no_multiscale,0.052,0.857,False,True
39,hard,no_subpixel,0.0,0.857,False,True
